Fund Name,Plan,Category,VR ID,Alpha,Beta,Sharpe,Standard Deviation,Mean Return,Sortino
Nippon India Nifty 500 Equal Weight Index Dir,Direct,Multi Cap,44515,--,--,--,--,--,--
Nippon India Nifty 500 Equal Weight Index Reg,Regular,Multi Cap,44513,--,--,--,--,--,--
Nippon India Nifty 500 Low Volatility 50 Index Dir,Direct,Flexi Cap,45109,--,--,--,--,--,--
Nippon India Nifty 500 Low Volatility 50 Index Reg,Regular,Flexi Cap,45107,--,--,--,--,--,--
Nippon India Nifty 500 Momentum 50 Index Dir,Direct,Flexi Cap,44558,--,--,--,--,--,--
Nippon India Nifty 500 Momentum 50 Index Reg,Regular,Flexi Cap,44556,--,--,--,--,--,--
Nippon India Nifty 500 Quality 50 Index Dir,Direct,Flexi Cap,45105,--,--,--,--,--,--
Nippon India Nifty 500 Quality 50 Index Reg,Regular,Flexi Cap,45103,--,--,--,--,--,--
Nippon India Nifty Alpha Low Volatility 30 Index Dir,Direct,Large & Mid Cap,42413,-0.12,1.11,0.82,14.56,18.03,1.12
Nippon India Nifty Alpha Low Volatility 30 Index Reg,Regular,Large & Mid Cap,42411,-0.67,1.11,0.78,14.56,17.48,1.07
Nippon India Nifty Bank Index Dir,Direct,Sectoral-Auto,44106,--,--,--,--,--,--
Nippon India Nifty Bank Index Reg,Regular,Sectoral-Auto,44104,--,--,--,--,--,--
Nippon India Nifty IT Index Dir,Direct,Sectoral-Technology,44110,--,--,--,--,--,--
Nippon India Nifty Midcap150 Dir,Direct,Mid Cap,41295,N/A,N/A,N/A,N/A,N/A,N/A
Nippon India Nifty Midcap150 Reg,Regular,Mid Cap,41293,0.14,0.99,1.06,15.64,22.71,1.41
Nippon India Nifty Next 50 Junior BeES FoF Dir,Direct,Large Cap,39157,4.78,1.24,1.02,16.32,22.78,1.34
Nippon India Nifty Next 50 Junior BeES FoF Reg,Regular,Large Cap,39155,4.60,1.24,1.01,16.31,22.60,1.32
Nippon India Nifty Pharma ETF,Regular,Sectoral-Pharma,41539,-0.99,0.98,1.10,16.58,24.33,1.90
Nippon India Nifty Pharma ETF,Direct,Sectoral-Pharma,41539,-0.99,0.98,1.10,16.58,24.33,1.90
Nippon India Nifty Realty Index Dir,Direct,Thematic,44712,--,--,--,--,--,--
Nippon India Nifty Realty Index Reg,Regular,Thematic,44710,--,--,--,--,--,--
Nippon India Nifty Smallcap 250 Index Dir,Direct,Small Cap,41131,0.51,1.01,0.76,19.53,21.00,1.12
Nippon India Nifty Smallcap 250 Index Reg,Regular,Small Cap,41129,-0.10,1.01,0.73,19.52,20.38,1.08
Nippon India Pharma Dir,Direct,Sectoral-Pharma,16150,0.25,0.91,1.19,15.21,24.16,1.73
Nippon India Pharma Reg,Regular,Sectoral-Pharma,2241,-0.65,0.90,1.13,15.20,23.25,1.65
Nippon India Retirement Wealth Creation Dir,Direct,Flexi Cap,29291,1.92,0.97,1.00,12.62,18.72,1.35
Nippon India Retirement Wealth Creation Reg,Regular,Flexi Cap,29289,0.96,0.97,0.92,12.61,17.74,1.25
Nippon India Silver ETF,Regular,Thematic-PSU,41984,-0.95,0.98,1.19,40.89,54.66,2.60
Nippon India Silver ETF,Direct,Thematic-PSU,41984,-0.95,0.98,1.19,40.89,54.66,2.60
Nippon India Silver ETF FoF Dir,Direct,Thematic-PSU,41987,-1.62,0.99,1.17,41.06,54.14,2.51
Nippon India Silver ETF FoF Reg,Regular,Thematic-PSU,41985,-1.94,0.99,1.16,41.05,53.80,2.50
Nippon India Small Cap Dir,Direct,Small Cap,16182,3.50,0.85,0.93,16.75,21.71,1.30
Nippon India Small Cap Reg,Regular,Small Cap,11463,2.72,0.85,0.89,16.73,20.92,1.24
Nippon India Taiwan Equity Dir,Direct,International,41838,--,--,--,--,--,--
Nippon India Taiwan Equity Reg,Regular,International,41836,--,--,--,--,--,--
Nippon India US Equity Opportunities Dir,Direct,International,30567,--,--,1.01,13.11,19.38,1.46
Nippon India US Equity Opportunities Reg,Regular,International,30564,--,--,0.93,13.10,18.25,1.34
Nippon India Value Dir,Direct,Value Oriented,16175,5.44,1.01,1.25,13.26,22.73,1.97
Nippon India Value Reg,Regular,Value Oriented,2790,4.71,1.01,1.20,13.25,22.00,1.88
Nippon India Vision Large & Mid Cap Dir,Direct,Large & Mid Cap,16194,4.17,1.02,1.19,12.82,21.32,1.49
Nippon India Vision Large & Mid Cap Reg,Regular,Large & Mid Cap,182,3.61,1.02,1.14,12.82,20.76,1.43
NJ ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),43365,--,--,--,--,--,--
NJ ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),43363,--,--,--,--,--,--
NJ Flexi Cap Dir,Direct,Flexi Cap,43714,--,--,--,--,--,--
NJ Flexi Cap Reg,Regular,Flexi Cap,43712,--,--,--,--,--,--
Old Bridge Flexi Cap Dir,Direct,Flexi Cap,45846,--,--,--,--,--,--
Old Bridge Flexi Cap Reg,Regular,Flexi Cap,45844,--,--,--,--,--,--
Old Bridge Focused Dir,Direct,Flexi Cap,44038,--,--,--,--,--,--
Old Bridge Focused Reg,Regular,Flexi Cap,44036,--,--,--,--,--,--
Parag Parikh ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),40105,2.02,0.70,1.02,9.54,15.88,1.66
Parag Parikh ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),40104,0.92,0.70,0.91,9.53,14.78,1.47
Parag Parikh Flexi Cap Dir,Direct,Flexi Cap,19701,N/A,N/A,N/A,N/A,N/A,N/A
Parag Parikh Flexi Cap Reg,Regular,Flexi Cap,19699,6.04,0.60,1.50,8.45,18.79,2.32
Parag Parikh Large Cap Dir,Direct,Large Cap,45775,--,--,--,--,--,--
Parag Parikh Large Cap Reg,Regular,Large Cap,45773,--,--,--,--,--,--
PGIM India ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),31167,-2.49,0.88,0.62,11.85,13.39,0.90
PGIM India ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),31165,-4.00,0.88,0.49,11.84,11.87,0.72
PGIM India Emerging Markets Equity FoF Dir,Direct,International,17349,--,--,1.29,13.67,23.68,2.52
PGIM India Emerging Markets Equity FoF Reg,Regular,International,5558,--,--,1.21,13.67,22.65,2.48
PGIM India Flexi Cap Dir,Direct,Flexi Cap,29473,-1.55,0.91,0.70,12.28,14.66,1.03
PGIM India Flexi Cap Reg,Regular,Flexi Cap,29471,-2.91,0.91,0.59,12.26,13.28,0.87
PGIM India Global Equity Opportunities FoF Dir,Direct,International,17348,--,--,0.77,16.27,18.58,1.06
PGIM India Global Equity Opportunities FoF Reg,Regular,International,11136,--,--,0.71,16.26,17.61,0.98
PGIM India Global Select Real Estate Sec FoF Dir,Direct,International,41818,--,--,0.56,14.10,14.05,1.02
PGIM India Global Select Real Estate Sec FoF Reg,Regular,International,41816,--,--,0.50,14.08,13.18,0.91
PGIM India Healthcare Dir,Direct,Sectoral-Pharma,44693,--,--,--,--,--,--
PGIM India Healthcare Reg,Regular,Sectoral-Pharma,44691,--,--,--,--,--,--
PGIM India Large and Mid Cap Dir,Direct,Large & Mid Cap,44085,--,--,--,--,--,--
PGIM India Large and Mid Cap Reg,Regular,Large & Mid Cap,44083,--,--,--,--,--,--
PGIM India Large Cap Dir,Direct,Large Cap,15574,-1.93,0.96,0.63,11.60,13.41,0.88
PGIM India Large Cap Reg,Regular,Large Cap,1513,-3.45,0.96,0.50,11.58,11.88,0.70
PGIM India Midcap Dir,Direct,Mid Cap,22367,-4.20,0.81,0.67,13.78,15.35,0.90
PGIM India Midcap Reg,Regular,Mid Cap,22365,-5.46,0.81,0.58,13.76,14.08,0.78
PGIM India Multi Cap Dir,Direct,Multi Cap,44505,--,--,--,--,--,--
PGIM India Multi Cap Reg,Regular,Multi Cap,44503,--,--,--,--,--,--
PGIM India Retirement Dir,Direct,Multi Cap,44253,--,--,--,--,--,--
PGIM India Retirement Reg,Regular,Multi Cap,44251,--,--,--,--,--,--
PGIM India Small Cap Dir,Direct,Small Cap,41577,-0.34,0.73,0.67,15.04,16.11,0.98
PGIM India Small Cap Reg,Regular,Small Cap,41575,-1.88,0.73,0.56,15.02,14.56,0.83
Quant BFSI Dir,Direct,Sectoral-Auto,43555,--,--,--,--,--,--
Quant BFSI Reg,Regular,Sectoral-Auto,43553,--,--,--,--,--,--
Quant Commodities Dir,Direct,Thematic,43966,--,--,--,--,--,--
Quant Commodities Reg,Regular,Thematic,43964,--,--,--,--,--,--
Quant Consumption Dir,Direct,Thematic-Infrastructure,44053,--,--,--,--,--,--
Quant Consumption Reg,Regular,Thematic-Infrastructure,44051,--,--,--,--,--,--
Quant ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),17381,0.34,1.15,0.83,15.78,19.20,1.38
Quant ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),818,-0.75,1.15,0.76,15.76,18.10,1.27
Quant ESG Integration Strategy Dir,Direct,Thematic-ESG,41165,1.02,1.18,0.76,16.32,18.45,1.12
Quant ESG Integration Strategy Reg,Regular,Thematic-ESG,41163,-0.57,1.18,0.66,16.30,16.84,0.98
Quant Flexi Cap Dir,Direct,Flexi Cap,17377,0.31,1.18,0.82,16.36,19.49,1.27
Quant Flexi Cap Reg,Regular,Flexi Cap,8827,-0.89,1.18,0.74,16.33,18.27,1.16
Quant Focused Dir,Direct,Large Cap,17373,0.35,1.13,0.75,14.95,17.35,1.17
Quant Focused Reg,Regular,Large Cap,8216,-1.19,1.13,0.65,14.93,15.80,1.01
Quant Healthcare Dir,Direct,Sectoral-Pharma,43610,--,--,--,--,--,--
Quant Healthcare Reg,Regular,Sectoral-Pharma,43608,--,--,--,--,--,--
Quant Large & Mid Cap Dir,Direct,Large & Mid Cap,17363,-1.85,1.23,0.70,16.54,17.62,0.98
Quant Large & Mid Cap Reg,Regular,Large & Mid Cap,4111,-3.18,1.23,0.62,16.52,16.27,0.87
Quant Large Cap Dir,Direct,Large Cap,42367,2.03,1.10,0.87,14.43,18.67,1.42
Quant Large Cap Reg,Regular,Large Cap,42365,0.49,1.10,0.76,14.41,17.13,1.25
Quant Mid Cap Dir,Direct,Mid Cap,17375,-5.73,0.99,0.63,17.36,16.96,0.86
Quant Mid Cap Reg,Regular,Mid Cap,958,-6.86,0.99,0.56,17.34,15.80,0.77
Quant Momentum Dir,Direct,Thematic,43882,--,--,--,--,--,--
Quant Momentum Reg,Regular,Thematic,43880,--,--,--,--,--,--
Quant Multi Cap Dir,Direct,Multi Cap,17361,-5.58,1.05,0.49,15.94,13.85,0.72
Quant Multi Cap Reg,Regular,Multi Cap,952,-6.69,1.05,0.42,15.93,12.74,0.62
Quant PSU Dir,Direct,Thematic-Energy,44142,--,--,--,--,--,--
Quant PSU Reg,Regular,Thematic-Energy,44140,--,--,--,--,--,--
Quant Small Cap Dir,Direct,Small Cap,17366,1.72,0.90,0.80,18.06,20.53,1.25
Quant Small Cap Reg,Regular,Small Cap,66,0.75,0.89,0.75,18.03,19.55,1.17
Quant Teck Dir,Direct,Sectoral-Technology,43762,--,--,--,--,--,--
Quant Value Dir,Direct,Value Oriented,41848,3.08,1.26,0.93,18.22,23.06,1.63
Quant Value Reg,Regular,Value Oriented,41846,1.55,1.25,0.85,18.21,21.51,1.48
Quantum Diversified Equity All Cap Active FoF Dir*,Direct,Flexi Cap,10550,0.91,0.91,0.94,11.65,17.09,1.28
Quantum Diversified Equity All Cap Active FoF Reg*,Regular,Flexi Cap,33962,0.65,0.91,0.92,11.65,16.83,1.26
Quantum ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),10080,1.93,0.82,1.01,10.92,17.09,1.67
Quantum ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),33972,0.87,0.82,0.91,10.92,16.04,1.51
Quantum ESG Best In Class Strategy Dir,Direct,Thematic-ESG,40010,-1.37,0.98,0.66,12.25,14.14,0.90
Quantum ESG Best In Class Strategy Reg,Regular,Thematic-ESG,40009,-2.62,0.98,0.55,12.25,12.88,0.76
Quantum Ethical Dir,Direct,Thematic,44771,--,--,--,--,--,--
Quantum Ethical Reg,Regular,Thematic,44770,--,--,--,--,--,--
Quantum Nifty 50 ETF,Regular,Large Cap,7834,-0.95,0.95,0.72,11.23,14.24,1.14
Quantum Nifty 50 ETF,Direct,Large Cap,7834,-0.95,0.95,0.72,11.23,14.24,1.14
Quantum Nifty 50 ETF FoF Reg*,Regular,Large Cap,42345,-1.07,0.93,0.71,11.10,14.02,1.10
Quantum Nifty 50 ETF FoF-Dir*,Direct,Large Cap,42346,-0.95,0.93,0.72,11.10,14.14,1.12
Quantum Small Cap Dir,Direct,Small Cap,43814,--,--,--,--,--,--
Quantum Small Cap Reg,Regular,Small Cap,43813,--,--,--,--,--,--
Quantum Value Dir,Direct,Value Oriented,3181,1.84,0.83,1.00,11.02,17.08,1.65
Quantum Value Reg,Regular,Value Oriented,33968,0.95,0.83,0.92,11.02,16.20,1.52
Samco Active Momentum Dir,Direct,Thematic,43515,--,--,--,--,--,--
Samco Active Momentum Reg,Regular,Thematic,43514,--,--,--,--,--,--
Samco ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),42760,-8.92,1.15,0.22,17.54,9.87,0.26
Samco ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),42759,-10.34,1.15,0.13,17.51,8.43,0.16
Samco Flexi Cap Dir,Direct,Flexi Cap,41935,-12.86,1.15,-0.01,17.74,5.89,-0.01
Samco Flexi Cap Reg,Regular,Flexi Cap,41934,-14.23,1.14,-0.09,17.72,4.51,-0.10
Samco Large & Mid Cap Dir,Direct,Large & Mid Cap,45201,--,--,--,--,--,--
Samco Large & Mid Cap Reg,Regular,Large & Mid Cap,45200,--,--,--,--,--,--
Samco Large Cap Dir,Direct,Large Cap,45017,--,--,--,--,--,--
Samco Large Cap Reg,Regular,Large Cap,45016,--,--,--,--,--,--
Samco Mid Cap Dir,Direct,Mid Cap,45740,--,--,--,--,--,--
Samco Mid Cap Reg,Regular,Mid Cap,45739,--,--,--,--,--,--
Samco Multi Cap Dir,Direct,Multi Cap,44527,--,--,--,--,--,--
Samco Multi Cap Reg,Regular,Multi Cap,44526,--,--,--,--,--,--
Samco Small Cap Dir,Direct,Small Cap,45540,--,--,--,--,--,--
Samco Small Cap Reg,Regular,Small Cap,45539,--,--,--,--,--,--
Samco Special Opportunities Dir,Direct,Thematic,44280,--,--,--,--,--,--
Samco Special Opportunities Reg,Regular,Thematic,44279,--,--,--,--,--,--
SBI Banking & Financial Services Dir,Direct,Sectoral-Auto,29463,9.17,0.81,1.51,10.81,22.46,2.94
SBI Banking & Financial Services Reg,Regular,Sectoral-Auto,29461,8.07,0.81,1.41,10.80,21.36,2.74
SBI BSE 100 ETF,Regular,Large Cap,29714,-0.14,1.00,0.80,11.80,15.56,1.16
SBI BSE 100 ETF,Direct,Large Cap,29714,-0.14,1.00,0.80,11.80,15.56,1.16
SBI BSE PSU Bank ETF,Regular,Sectoral-Auto,45068,--,--,--,--,--,--
SBI BSE PSU Bank ETF,Direct,Sectoral-Auto,45068,N/A,N/A,N/A,N/A,N/A,N/A
SBI BSE PSU Bank Index Dir,Direct,Sectoral-Auto,45071,--,--,--,--,--,--
SBI BSE PSU Bank Index Reg,Regular,Sectoral-Auto,45069,--,--,--,--,--,--
SBI BSE Sensex ETF,Regular,Large Cap,18077,-2.49,0.92,0.58,11.05,12.49,0.94
SBI BSE Sensex ETF,Direct,Large Cap,18077,-2.49,0.92,0.58,11.05,12.49,0.94
SBI BSE Sensex Index Dir,Direct,Large Cap,43526,--,--,--,--,--,--
SBI BSE Sensex Index Reg,Regular,Large Cap,43524,--,--,--,--,--,--
SBI BSE Sensex Next 50 ETF,Regular,Large Cap,37639,5.31,1.21,1.13,15.05,23.04,1.51
SBI BSE Sensex Next 50 ETF,Direct,Large Cap,37639,5.31,1.21,1.13,15.05,23.04,1.51
SBI Comma Dir,Direct,Thematic,17523,4.50,1.01,1.06,14.70,21.73,1.63
SBI Comma Reg,Regular,Thematic,2812,3.88,1.01,1.02,14.69,21.11,1.57
SBI Consumption Opportunities Dir,Direct,Thematic-Infrastructure,17525,-3.38,0.84,0.59,14.40,14.53,0.76
SBI Consumption Opportunities Reg,Regular,Thematic-Infrastructure,630,-4.46,0.83,0.51,14.38,13.44,0.66
SBI Contra Dir,Direct,Value Oriented,16322,3.83,0.93,1.17,12.07,20.17,1.78
SBI Contra Reg,Regular,Value Oriented,633,2.92,0.93,1.09,12.05,19.26,1.67
SBI ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16244,6.50,0.97,1.34,12.82,23.33,2.07
SBI ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),198,5.83,0.97,1.29,12.81,22.65,1.99
SBI Energy Opportunities Dir,Direct,Thematic-Dividend Yield,44146,--,--,--,--,--,--
SBI Energy Opportunities Reg,Regular,Thematic-Dividend Yield,44144,--,--,--,--,--,--
SBI Equity Minimum Variance Dir,Direct,Thematic,39364,-1.66,0.92,0.67,12.70,14.56,0.88
SBI Equity Minimum Variance Reg,Regular,Thematic,39362,-1.99,0.92,0.64,12.70,14.23,0.85
SBI ESG Exclusionary Strategy Dir,Direct,Thematic-ESG,16219,0.15,0.93,0.80,11.35,15.15,1.15
SBI ESG Exclusionary Strategy Reg,Regular,Thematic-ESG,190,-0.47,0.92,0.74,11.34,14.53,1.07
SBI Flexicap Dir,Direct,Flexi Cap,17514,-0.57,0.85,0.80,11.01,14.91,1.08
SBI Flexicap Reg,Regular,Flexi Cap,2859,-1.42,0.85,0.72,11.00,14.06,0.98
SBI Focused Dir,Direct,Flexi Cap,16324,5.47,0.71,1.31,10.14,19.42,2.06
SBI Focused Reg,Regular,Flexi Cap,2415,4.63,0.71,1.23,10.13,18.57,1.93
SBI Healthcare Opportunities Dir,Direct,Sectoral-Pharma,16327,2.81,0.86,1.37,14.35,25.75,2.13
SBI Healthcare Opportunities Reg,Regular,Sectoral-Pharma,632,1.75,0.86,1.30,14.34,24.67,2.02
SBI Large & Midcap Dir,Direct,Large & Mid Cap,16240,3.99,0.85,1.22,10.84,19.36,1.89
SBI Large & Midcap Reg,Regular,Large & Mid Cap,197,3.11,0.85,1.14,10.84,18.47,1.77
SBI Large Cap Dir,Direct,Large Cap,16198,0.76,0.91,0.86,10.99,15.58,1.36
SBI Large Cap Reg,Regular,Large Cap,3083,0.06,0.91,0.80,10.98,14.88,1.26
SBI Long Term Advantage Sr III Dir,Direct,ELSS (Tax Saver),31547,-0.34,0.99,0.78,13.71,16.75,1.12
SBI Long Term Advantage Sr III Reg,Regular,ELSS (Tax Saver),31545,-0.75,0.99,0.75,13.71,16.34,1.08
SBI Long Term Advantage Sr IV Dir,Direct,ELSS (Tax Saver),33323,2.09,0.84,0.88,12.96,17.45,1.45
SBI Long Term Advantage Sr IV Reg,Regular,ELSS (Tax Saver),33321,1.65,0.84,0.84,12.96,17.01,1.39
SBI Long Term Advantage Sr V Dir,Direct,ELSS (Tax Saver),34960,6.56,0.91,1.26,13.25,22.75,1.93
SBI Long Term Advantage Sr V Reg,Regular,ELSS (Tax Saver),34958,6.18,0.91,1.23,13.24,22.37,1.89
SBI Long Term Advantage Sr VI Dir,Direct,ELSS (Tax Saver),35971,0.99,1.04,0.86,14.51,18.54,1.16
SBI Long Term Advantage Sr VI Reg,Regular,ELSS (Tax Saver),35969,0.63,1.04,0.83,14.50,18.18,1.13
SBI Midcap Dir,Direct,Mid Cap,16235,-1.68,0.80,0.88,13.27,17.74,1.15
SBI Midcap Reg,Regular,Mid Cap,2662,-2.54,0.80,0.81,13.25,16.86,1.07
SBI MNC Dir,Direct,Thematic-Consumption,16224,-4.14,0.70,0.34,10.69,9.73,0.48
SBI MNC Reg,Regular,Thematic-Consumption,201,-4.82,0.70,0.28,10.68,9.04,0.39
SBI Multicap Dir,Direct,Multi Cap,42108,1.84,0.77,1.00,11.74,17.79,1.48
SBI Multicap Reg,Regular,Multi Cap,42106,0.99,0.77,0.92,11.73,16.93,1.37
SBI Nifty 200 Quality 30 ETF,Regular,Large & Mid Cap,38348,-3.19,1.03,0.58,13.90,14.15,0.70
SBI Nifty 200 Quality 30 ETF,Direct,Large & Mid Cap,38348,-3.19,1.03,0.58,13.90,14.15,0.70
SBI Nifty 50 Equal Weight ETF,Regular,Large Cap,44433,--,--,--,--,--,--
SBI Nifty 50 Equal Weight ETF,Direct,Large Cap,44433,--,--,--,--,--,--
SBI Nifty 50 ETF,Regular,Large Cap,30710,-0.90,0.95,0.73,11.23,14.29,1.14
SBI Nifty 50 ETF,Direct,Large Cap,30710,-0.90,0.95,0.73,11.23,14.29,1.14
SBI Nifty 500 Index Dir,Direct,Flexi Cap,44567,--,--,--,--,--,--
SBI Nifty 500 Index Reg,Regular,Flexi Cap,44565,--,--,--,--,--,--
SBI Nifty Bank ETF,Regular,Sectoral-Auto,29709,0.00,1.00,0.74,12.08,15.01,1.42
SBI Nifty Bank ETF,Direct,Sectoral-Auto,29709,0.00,1.00,0.74,12.08,15.01,1.42
SBI Nifty Bank Index Dir,Direct,Sectoral-Auto,44894,--,--,--,--,--,--
SBI Nifty Bank Index Reg,Regular,Sectoral-Auto,44892,--,--,--,--,--,--
SBI Nifty Consumption ETF,Regular,Thematic-Infrastructure,41572,0.12,0.82,0.82,14.31,17.81,1.00
SBI Nifty Consumption ETF,Direct,Thematic-Infrastructure,41572,0.12,0.82,0.82,14.31,17.81,1.00
SBI Nifty Index Dir,Direct,Large Cap,16233,-1.10,0.95,0.71,11.24,14.10,1.12
SBI Nifty Index Reg,Regular,Large Cap,1164,-1.37,0.95,0.69,11.23,13.82,1.08
SBI Nifty India Consmpn Index Dir,Direct,Thematic-Infrastructure,44672,--,--,--,--,--,--
SBI Nifty India Consmpn Index Reg,Regular,Thematic-Infrastructure,44670,--,--,--,--,--,--
SBI Nifty IT ETF,Direct,Sectoral-Technology,41150,0.59,1.02,-0.03,22.42,5.48,-0.04
SBI Nifty IT Index Dir,Direct,Sectoral-Technology,44960,--,--,--,--,--,--
SBI Nifty Midcap 150 Index Dir,Direct,Mid Cap,42585,0.61,0.99,1.09,15.65,23.19,1.45
SBI Nifty Midcap 150 Index Reg,Regular,Mid Cap,42583,0.10,0.99,1.06,15.64,22.67,1.41
SBI Nifty Midcap 150 Momentum 50 ETF,Regular,Mid Cap,45872,--,--,--,--,--,--
SBI Nifty Midcap 150 Momentum 50 ETF,Direct,Mid Cap,45872,--,--,--,--,--,--
SBI Nifty Next 50 ETF,Regular,Large Cap,29715,4.77,1.26,1.02,16.59,23.02,1.34
SBI Nifty Next 50 ETF,Direct,Large Cap,29715,4.77,1.26,1.02,16.59,23.02,1.34
SBI Nifty Next 50 Index Dir,Direct,Large Cap,41492,4.54,1.26,1.01,16.59,22.79,1.32
SBI Nifty Next 50 Index Reg,Regular,Large Cap,41490,4.09,1.26,0.98,16.58,22.33,1.29
SBI Nifty Private Bank ETF,Regular,Sectoral-Auto,41149,-2.48,0.97,0.51,12.13,12.24,0.95
SBI Nifty Private Bank ETF,Direct,Sectoral-Auto,41149,-2.48,0.97,0.51,12.13,12.24,0.95
SBI Nifty Smallcap 250 Index Dir,Direct,Small Cap,42581,0.67,1.02,0.77,19.63,21.23,1.14
SBI Nifty Smallcap 250 Index Reg,Regular,Small Cap,42579,0.15,1.02,0.74,19.61,20.69,1.10
SBI Nifty100 Low Volatility 30 Index Dir,Direct,Large Cap,45361,--,--,--,--,--,--
SBI Nifty100 Low Volatility 30 Index Reg,Regular,Large Cap,45359,--,--,--,--,--,--
SBI Nifty200 Momentum 30 Index Dir,Direct,Large & Mid Cap,45267,--,--,--,--,--,--
SBI Nifty200 Momentum 30 Index Reg,Regular,Large & Mid Cap,45265,--,--,--,--,--,--
SBI Nifty200 Quality 30 Index Dir,Direct,Large & Mid Cap,45182,--,--,--,--,--,--
SBI Nifty200 Quality 30 Index Reg,Regular,Large & Mid Cap,45180,--,--,--,--,--,--
SBI Nifty50 Equal Weight Index Dir,Direct,Large Cap,44075,--,--,--,--,--,--
SBI Nifty50 Equal Weight Index Reg,Regular,Large Cap,44073,--,--,--,--,--,--
SBI PSU Dir,Direct,Thematic-Energy,16311,1.82,0.93,1.35,20.96,34.41,2.31
SBI PSU Reg,Regular,Thematic-Energy,11198,0.72,0.93,1.30,20.95,33.30,2.22
SBI Quality Dir,Direct,Thematic,45793,--,--,--,--,--,--
SBI Quality Reg,Regular,Thematic,45791,--,--,--,--,--,--
SBI Retirement Benefit Aggressive Dir,Direct,Flexi Cap,41271,-1.74,0.91,0.70,11.84,14.37,0.98
SBI Retirement Benefit Aggressive Reg,Regular,Flexi Cap,41269,-2.87,0.90,0.60,11.82,13.23,0.85
SBI Silver ETF,Regular,Thematic-PSU,44407,--,--,--,--,--,--
SBI Silver ETF,Direct,Thematic-PSU,44407,--,--,--,--,--,--
SBI Silver ETF FoF Dir,Direct,Thematic-PSU,44422,--,--,--,--,--,--
SBI Silver ETF FoF Reg,Regular,Thematic-PSU,44420,--,--,--,--,--,--
SBI Small Cap Dir,Direct,Small Cap,15787,-1.84,0.74,0.59,14.54,14.71,0.82
SBI Small Cap Reg,Regular,Small Cap,10603,-2.76,0.73,0.53,14.52,13.78,0.73
SBI Technology Opportunities Dir,Direct,Sectoral-Technology,17526,6.96,0.76,0.35,17.22,12.16,0.50
SBI US Specific Equity Active FoF FoF Dir,Direct,International,41352,--,--,1.42,13.73,25.66,2.16
SBI US Specific Equity Active FoF FoF Reg,Regular,International,41350,--,--,1.37,13.72,24.96,2.09
Shriram ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),38439,-3.87,1.05,0.52,14.85,13.81,0.62
Shriram ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),38437,-5.51,1.05,0.41,14.83,12.15,0.49
Shriram Flexi Cap Dir,Direct,Flexi Cap,37581,-3.96,1.05,0.51,14.96,13.69,0.61
Shriram Flexi Cap Reg,Regular,Flexi Cap,37579,-5.63,1.04,0.39,14.93,12.00,0.48
Shriram Multi Sector Rotation Dir,Direct,Thematic,44669,--,--,--,--,--,--
Shriram Multi Sector Rotation Reg,Regular,Thematic,44668,--,--,--,--,--,--
Sundaram  Long Term Tax Advantage IV Reg,Regular,ELSS (Tax Saver),35871,2.34,1.01,0.88,15.38,19.58,1.30
Sundaram Consumption Dir,Direct,Thematic-Infrastructure,16163,-1.49,0.81,0.71,14.05,16.02,0.87
Sundaram Consumption Reg,Regular,Thematic-Infrastructure,3268,-2.37,0.81,0.64,14.04,15.14,0.80
Sundaram ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16650,0.60,0.86,0.90,11.19,16.19,1.32
Sundaram ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),89,0.05,0.86,0.85,11.19,15.64,1.25
Sundaram Financial Services Opportunities Dir,Direct,Sectoral-Auto,16148,6.48,0.92,1.18,12.42,20.78,2.19
Sundaram Financial Services Opportunities Reg,Regular,Sectoral-Auto,7611,5.10,0.92,1.07,12.41,19.40,1.99
Sundaram Flexi Cap Dir,Direct,Flexi Cap,42504,0.91,0.87,0.92,11.40,16.63,1.37
Sundaram Flexi Cap Reg,Regular,Flexi Cap,42502,-0.58,0.87,0.79,11.38,15.12,1.21
Sundaram Focused Dir,Direct,Flexi Cap,16614,0.16,0.82,0.84,10.97,15.33,1.22
Sundaram Focused Reg,Regular,Flexi Cap,2916,-0.86,0.82,0.75,10.96,14.31,1.08
Sundaram Global Brand Theme - Equity Active FoF Dir*,Direct,International,17200,--,--,1.17,11.40,19.39,1.55
Sundaram Global Brand Theme - Equity Active FoF Reg*,Regular,International,5449,--,--,1.08,11.39,18.43,1.44
