Fund Name,Plan,Category,VR ID,Alpha,Beta,Sharpe,Standard Deviation,Mean Return,Sortino
Bandhan BSE Sensex ETF,Regular,Large Cap,32902,-2.82,0.92,0.55,11.01,12.14,0.89
Bandhan BSE Sensex ETF,Direct,Large Cap,32902,-2.82,0.92,0.55,11.01,12.14,0.89
Bandhan ELSS Tax Saver Dir,Direct,ELSS (Tax Saver),16493,1.11,0.88,0.95,11.45,16.97,1.32
Bandhan ELSS Tax Saver Reg,Regular,ELSS (Tax Saver),10032,0.00,0.88,0.85,11.44,15.85,1.18
Bandhan Financial Services Dir,Direct,Sectoral-Auto,43567,--,--,--,--,--,--
Bandhan Financial Services Reg,Regular,Sectoral-Auto,43565,--,--,--,--,--,--
Bandhan Flexi Cap Dir,Direct,Flexi Cap,16501,1.07,0.86,0.94,11.31,16.69,1.35
Bandhan Flexi Cap Reg,Regular,Flexi Cap,2886,0.35,0.86,0.87,11.30,15.97,1.26
Bandhan Focused Dir,Direct,Flexi Cap,16507,3.66,0.95,1.02,13.91,20.25,1.41
Bandhan Focused Reg,Regular,Flexi Cap,3151,2.36,0.95,0.92,13.89,18.94,1.28
Bandhan Healthcare Dir,Direct,Sectoral-Pharma,45548,--,--,--,--,--,--
Bandhan Healthcare Reg,Regular,Sectoral-Pharma,45546,--,--,--,--,--,--
Bandhan Large & Mid Cap Dir,Direct,Large & Mid Cap,16474,6.70,1.02,1.34,13.22,23.84,1.80
Bandhan Large & Mid Cap Reg,Regular,Large & Mid Cap,2797,5.53,1.01,1.25,13.20,22.65,1.68
Bandhan Large Cap Dir,Direct,Large Cap,16699,2.63,1.04,1.00,12.58,18.70,1.46
Bandhan Large Cap Reg,Regular,Large Cap,3400,1.45,1.04,0.91,12.56,17.51,1.32
Bandhan Midcap Dir,Direct,Mid Cap,42342,-0.12,0.97,0.98,16.43,22.18,1.18
Bandhan Midcap Reg,Regular,Mid Cap,42340,-1.64,0.97,0.89,16.40,20.62,1.07
Bandhan Multi Cap Dir,Direct,Multi Cap,41822,1.53,0.86,0.99,12.65,18.64,1.39
Bandhan Multi Cap Reg,Regular,Multi Cap,41820,0.07,0.86,0.88,12.63,17.16,1.23
Bandhan Multi-Factor Dir,Direct,Thematic,45334,--,--,--,--,--,--
Bandhan Multi-Factor Reg,Regular,Thematic,45332,--,--,--,--,--,--
Bandhan Nifty 100 Index Dir,Direct,Large Cap,42076,-0.17,1.00,0.80,11.81,15.53,1.14
Bandhan Nifty 100 Index Reg,Regular,Large Cap,42074,-0.66,1.00,0.76,11.81,15.03,1.08
Bandhan Nifty 200 Quality 30 Index Dir,Direct,Large & Mid Cap,44741,--,--,--,--,--,--
Bandhan Nifty 200 Quality 30 Index Reg,Regular,Large & Mid Cap,44740,--,--,--,--,--,--
Bandhan Nifty 50 ETF,Regular,Large Cap,32903,-0.93,0.94,0.73,11.22,14.25,1.14
Bandhan Nifty 50 ETF,Direct,Large Cap,32903,-0.93,0.94,0.73,11.22,14.25,1.14
Bandhan Nifty 50 Index Dir,Direct,Large Cap,16504,-1.04,0.95,0.72,11.23,14.15,1.12
Bandhan Nifty 50 Index Reg,Regular,Large Cap,11154,-1.53,0.95,0.67,11.23,13.66,1.05
Bandhan Nifty 500 Momentum 50 Index Dir,Direct,Flexi Cap,44630,--,--,--,--,--,--
Bandhan Nifty 500 Momentum 50 Index Reg,Regular,Flexi Cap,44629,--,--,--,--,--,--
Bandhan Nifty 500 Value 50 Index Dir,Direct,Value Oriented,44628,--,--,--,--,--,--
Bandhan Nifty 500 Value 50 Index Reg,Regular,Value Oriented,44627,--,--,--,--,--,--
Bandhan Nifty Alpha 50 Index Dir,Direct,Flexi Cap,43864,--,--,--,--,--,--
Bandhan Nifty Alpha 50 Index Reg,Regular,Flexi Cap,43862,--,--,--,--,--,--
Bandhan Nifty Alpha Low Volatility 30 Index Dir,Direct,Large & Mid Cap,44859,--,--,--,--,--,--
Bandhan Nifty Alpha Low Volatility 30 Index Reg,Regular,Large & Mid Cap,44858,--,--,--,--,--,--
Bandhan Nifty Bank Index Dir,Direct,Sectoral-Auto,44477,--,--,--,--,--,--
Bandhan Nifty Bank Index Reg,Regular,Sectoral-Auto,44476,--,--,--,--,--,--
Bandhan Nifty IT Index Dir,Direct,Sectoral-Technology,43728,--,--,--,--,--,--
Bandhan Nifty Midcap 150 Index Dir,Direct,Mid Cap,44531,--,--,--,--,--,--
Bandhan Nifty Midcap 150 Index Reg,Regular,Mid Cap,44530,--,--,--,--,--,--
Bandhan Nifty Next 50 Index Dir,Direct,Large Cap,44984,--,--,--,--,--,--
Bandhan Nifty Next 50 Index Reg,Regular,Large Cap,44983,--,--,--,--,--,--
Bandhan Nifty Smallcap 250 Index Dir,Direct,Small Cap,43958,--,--,--,--,--,--
Bandhan Nifty Smallcap 250 Index Reg,Regular,Small Cap,43956,--,--,--,--,--,--
